action_id,priority,job_id,job_name,site,blocker,next_action,responsible_role,assignee,needed_by,status,last_updated,lookahead_bucket,escalation_flag,blocking_flag,project_phase,planned_start_date,constraint_category,reason_code,source_field
A-J002-01,High,J002,Walkway 002,"Warwick, RI",Site access and staging are not verified,"Verify access, staging, and equipment path",Project Manager,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,Yes,Preconstruction,2026-07-16,Readiness gate,ACCESS_GATE,site_access_verified
A-J002-02,High,J002,Walkway 002,"Warwick, RI",High slope requires additional review,Complete site review before approval,Project Manager,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,No,Preconstruction,2026-07-16,Site constraint,SLOPE,risk_drivers
A-J002-03,High,J002,Walkway 002,"Warwick, RI",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,No,Preconstruction,2026-07-16,Site constraint,DRAINAGE,risk_drivers
A-J008-01,High,J008,Paver Patio 008,"Newton, MA",Permit or inspection status is pending,Resolve permit and inspection requirement,Operations Manager,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,Yes,Preconstruction,2026-07-16,Readiness gate,PERMIT,permit_status
A-J008-02,High,J008,Paver Patio 008,"Newton, MA",Materials are not confirmed,"Confirm selection, availability, and delivery",Estimator / Owner,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,Yes,Preconstruction,2026-07-16,Readiness gate,MATERIAL,materials_status
A-J008-03,High,J008,Paver Patio 008,"Newton, MA",High slope requires additional review,Complete site review before approval,Project Manager,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,No,Preconstruction,2026-07-16,Site constraint,SLOPE,risk_drivers
A-J043-01,High,J043,Paver Patio 043,"Quincy, MA",Crew is not assigned,Assign crew and required equipment,Operations Manager,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,Yes,Preconstruction,2026-07-16,Readiness gate,CREW,crew_assigned
A-J043-03,High,J043,Paver Patio 043,"Quincy, MA",Very narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,No,Preconstruction,2026-07-16,Site constraint,ACCESS_RISK,risk_drivers
A-J043-04,High,J043,Paver Patio 043,"Quincy, MA",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,No,Preconstruction,2026-07-16,Site constraint,DRAINAGE,risk_drivers
A-J043-06,High,J043,Paver Patio 043,"Quincy, MA",Crew may be small for the job size,Review crew plan and production assumption,Operations Manager,Unassigned,2026-07-14,Open,2026-07-15,Due / Overdue,Yes,No,Preconstruction,2026-07-16,Site constraint,CREW_SIZE,risk_drivers
A-J024-01,High,J024,Paver Patio 024,"Quincy, MA",Site access and staging are not verified,"Verify access, staging, and equipment path",Project Manager,Unassigned,2026-07-15,Open,2026-07-15,Due / Overdue,Yes,Yes,Preconstruction,2026-07-17,Readiness gate,ACCESS_GATE,site_access_verified
A-J024-02,High,J024,Paver Patio 024,"Quincy, MA",Materials are not confirmed,"Confirm selection, availability, and delivery",Estimator / Owner,Unassigned,2026-07-15,Open,2026-07-15,Due / Overdue,Yes,Yes,Preconstruction,2026-07-17,Readiness gate,MATERIAL,materials_status
A-J024-03,High,J024,Paver Patio 024,"Quincy, MA",High slope requires additional review,Complete site review before approval,Project Manager,Unassigned,2026-07-15,Open,2026-07-15,Due / Overdue,Yes,No,Preconstruction,2026-07-17,Site constraint,SLOPE,risk_drivers
A-J024-04,High,J024,Paver Patio 024,"Quincy, MA",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-15,Open,2026-07-15,Due / Overdue,Yes,No,Preconstruction,2026-07-17,Site constraint,DRAINAGE,risk_drivers
A-J032-01,High,J032,Paver Patio 032,"Framingham, MA",Site access and staging are not verified,"Verify access, staging, and equipment path",Project Manager,Unassigned,2026-07-15,Open,2026-07-15,Due / Overdue,Yes,Yes,Preconstruction,2026-07-17,Readiness gate,ACCESS_GATE,site_access_verified
A-J032-02,High,J032,Paver Patio 032,"Framingham, MA",Materials are not confirmed,"Confirm selection, availability, and delivery",Estimator / Owner,Unassigned,2026-07-15,Open,2026-07-15,Due / Overdue,Yes,Yes,Preconstruction,2026-07-17,Readiness gate,MATERIAL,materials_status
A-J054-01,High,J054,Walkway 054,"Providence, RI",Scope is not approved,Confirm approved scope before mobilization,Estimator / Owner,Unassigned,2026-07-16,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-18,Readiness gate,SCOPE,scope_approved
A-J054-02,High,J054,Walkway 054,"Providence, RI",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-07-16,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-18,Readiness gate,UTILITY,utility_locate_status
A-J059-01,High,J059,Paver Patio 059,"Worcester, MA",Scope is not approved,Confirm approved scope before mobilization,Estimator / Owner,Unassigned,2026-07-16,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-18,Readiness gate,SCOPE,scope_approved
A-J059-02,High,J059,Paver Patio 059,"Worcester, MA",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-07-16,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-18,Readiness gate,UTILITY,utility_locate_status
A-J059-03,High,J059,Paver Patio 059,"Worcester, MA",Materials are not confirmed,"Confirm selection, availability, and delivery",Estimator / Owner,Unassigned,2026-07-16,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-18,Readiness gate,MATERIAL,materials_status
A-J059-04,High,J059,Paver Patio 059,"Worcester, MA",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-16,Open,2026-07-15,Next 7 Days,Yes,No,Preconstruction,2026-07-18,Site constraint,DRAINAGE,risk_drivers
A-J059-06,High,J059,Paver Patio 059,"Worcester, MA",Very long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-16,Open,2026-07-15,Next 7 Days,Yes,No,Preconstruction,2026-07-18,Site constraint,CARRY,risk_drivers
A-J059-07,High,J059,Paver Patio 059,"Worcester, MA",Crew may be small for the job size,Review crew plan and production assumption,Operations Manager,Unassigned,2026-07-16,Open,2026-07-15,Next 7 Days,Yes,No,Preconstruction,2026-07-18,Site constraint,CREW_SIZE,risk_drivers
A-J020-02,High,J020,Walkway 020,"Cranston, RI",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-17,Open,2026-07-15,Next 7 Days,Yes,No,Preconstruction,2026-07-19,Site constraint,DRAINAGE,risk_drivers
A-J011-01,High,J011,Paver Patio 011,"Warwick, RI",Site access and staging are not verified,"Verify access, staging, and equipment path",Project Manager,Unassigned,2026-07-19,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-21,Readiness gate,ACCESS_GATE,site_access_verified
A-J011-02,High,J011,Paver Patio 011,"Warwick, RI",Crew is not assigned,Assign crew and required equipment,Operations Manager,Unassigned,2026-07-19,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-21,Readiness gate,CREW,crew_assigned
A-J011-05,High,J011,Paver Patio 011,"Warwick, RI",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-19,Open,2026-07-15,Next 7 Days,Yes,No,Preconstruction,2026-07-21,Site constraint,DRAINAGE,risk_drivers
A-J029-01,High,J029,Paver Patio 029,"Quincy, MA",Materials are not confirmed,"Confirm selection, availability, and delivery",Estimator / Owner,Unassigned,2026-07-19,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-21,Readiness gate,MATERIAL,materials_status
A-J029-02,High,J029,Paver Patio 029,"Quincy, MA",Very narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-19,Open,2026-07-15,Next 7 Days,Yes,No,Preconstruction,2026-07-21,Site constraint,ACCESS_RISK,risk_drivers
A-J046-01,High,J046,Walkway 046,"Worcester, MA",High slope requires additional review,Complete site review before approval,Project Manager,Unassigned,2026-07-19,Open,2026-07-15,Next 7 Days,Yes,No,Preconstruction,2026-07-21,Site constraint,SLOPE,risk_drivers
A-J053-01,High,J053,Walkway 053,"Cranston, RI",Scope is not approved,Confirm approved scope before mobilization,Estimator / Owner,Unassigned,2026-07-19,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-21,Readiness gate,SCOPE,scope_approved
A-J053-02,High,J053,Walkway 053,"Cranston, RI",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-07-19,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-21,Readiness gate,UTILITY,utility_locate_status
A-J056-01,High,J056,Walkway 056,"Weymouth, MA",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-07-19,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-21,Readiness gate,UTILITY,utility_locate_status
A-J056-02,High,J056,Walkway 056,"Weymouth, MA",Permit or inspection status is pending,Resolve permit and inspection requirement,Operations Manager,Unassigned,2026-07-19,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-21,Readiness gate,PERMIT,permit_status
A-J056-03,High,J056,Walkway 056,"Weymouth, MA",Materials are not confirmed,"Confirm selection, availability, and delivery",Estimator / Owner,Unassigned,2026-07-19,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-21,Readiness gate,MATERIAL,materials_status
A-J056-04,High,J056,Walkway 056,"Weymouth, MA",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-19,Open,2026-07-15,Next 7 Days,Yes,No,Preconstruction,2026-07-21,Site constraint,DRAINAGE,risk_drivers
A-J018-01,High,J018,Paver Patio 018,"Newton, MA",Site access and staging are not verified,"Verify access, staging, and equipment path",Project Manager,Unassigned,2026-07-20,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-22,Readiness gate,ACCESS_GATE,site_access_verified
A-J018-02,High,J018,Paver Patio 018,"Newton, MA",Permit or inspection status is pending,Resolve permit and inspection requirement,Operations Manager,Unassigned,2026-07-20,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-22,Readiness gate,PERMIT,permit_status
A-J018-04,High,J018,Paver Patio 018,"Newton, MA",Very long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-20,Open,2026-07-15,Next 7 Days,Yes,No,Preconstruction,2026-07-22,Site constraint,CARRY,risk_drivers
A-J037-01,High,J037,Paver Patio 037,"Boston, MA",Site access and staging are not verified,"Verify access, staging, and equipment path",Project Manager,Unassigned,2026-07-20,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-22,Readiness gate,ACCESS_GATE,site_access_verified
A-J037-03,High,J037,Paver Patio 037,"Boston, MA",Very long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-20,Open,2026-07-15,Next 7 Days,Yes,No,Preconstruction,2026-07-22,Site constraint,CARRY,risk_drivers
A-J039-01,High,J039,Paver Patio 039,"Worcester, MA",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-07-20,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-22,Readiness gate,UTILITY,utility_locate_status
A-J045-01,High,J045,Paver Patio 045,"Framingham, MA",Utility locate is pending,Confirm utility locate before excavation,Project Manager,Unassigned,2026-07-20,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-22,Readiness gate,UTILITY,utility_locate_status
A-J045-02,High,J045,Paver Patio 045,"Framingham, MA",Crew is not assigned,Assign crew and required equipment,Operations Manager,Unassigned,2026-07-20,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-22,Readiness gate,CREW,crew_assigned
A-J045-03,High,J045,Paver Patio 045,"Framingham, MA",Very long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-20,Open,2026-07-15,Next 7 Days,Yes,No,Preconstruction,2026-07-22,Site constraint,CARRY,risk_drivers
A-J051-01,High,J051,Paver Patio 051,"Boston, MA",Scope is not approved,Confirm approved scope before mobilization,Estimator / Owner,Unassigned,2026-07-20,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-22,Readiness gate,SCOPE,scope_approved
A-J051-02,High,J051,Paver Patio 051,"Boston, MA",Site access and staging are not verified,"Verify access, staging, and equipment path",Project Manager,Unassigned,2026-07-20,Open,2026-07-15,Next 7 Days,Yes,Yes,Preconstruction,2026-07-22,Readiness gate,ACCESS_GATE,site_access_verified
A-J051-04,High,J051,Paver Patio 051,"Boston, MA",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-20,Open,2026-07-15,Next 7 Days,Yes,No,Preconstruction,2026-07-22,Site constraint,DRAINAGE,risk_drivers
A-J049-02,High,J049,Walkway 049,"Framingham, MA",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-21,Open,2026-07-15,Next 7 Days,Yes,No,Preconstruction,2026-07-23,Site constraint,DRAINAGE,risk_drivers
A-J049-03,High,J049,Walkway 049,"Framingham, MA",Very long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-21,Open,2026-07-15,Next 7 Days,Yes,No,Preconstruction,2026-07-23,Site constraint,CARRY,risk_drivers
A-J001-02,High,J001,Walkway 001,"Pawtucket, RI",High slope requires additional review,Complete site review before approval,Project Manager,Unassigned,2026-07-23,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-07-25,Site constraint,SLOPE,risk_drivers
A-J001-04,High,J001,Walkway 001,"Pawtucket, RI",Very long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-23,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-07-25,Site constraint,CARRY,risk_drivers
A-J031-03,High,J031,Walkway 031,"Newport, RI",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-23,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-07-25,Site constraint,DRAINAGE,risk_drivers
A-J010-02,High,J010,Paver Patio 010,"Quincy, MA",Estimated margin is below target,"Review quote, scope, allowance, and cost assumptions",Estimator / Owner,Unassigned,2026-07-24,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-07-26,Commercial review,MARGIN,estimated_margin_pct
A-J035-02,High,J035,Paver Patio 035,"Providence, RI",Very narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-24,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-07-26,Site constraint,ACCESS_RISK,risk_drivers
A-J035-03,High,J035,Paver Patio 035,"Providence, RI",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-24,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-07-26,Site constraint,DRAINAGE,risk_drivers
A-J035-04,High,J035,Paver Patio 035,"Providence, RI",Very long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-24,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-07-26,Site constraint,CARRY,risk_drivers
A-J041-03,High,J041,Paver Patio 041,"Worcester, MA",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-24,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-07-26,Site constraint,DRAINAGE,risk_drivers
A-J027-03,High,J027,Paver Patio 027,"Boston, MA",Very long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-26,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-07-28,Site constraint,CARRY,risk_drivers
A-J044-03,High,J044,Paver Patio 044,"Quincy, MA",Very long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-26,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-07-28,Site constraint,CARRY,risk_drivers
A-J060-04,High,J060,Paver Patio 060,"Braintree, MA",Very narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-26,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-07-28,Site constraint,ACCESS_RISK,risk_drivers
A-J060-06,High,J060,Paver Patio 060,"Braintree, MA",Very long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-26,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-07-28,Site constraint,CARRY,risk_drivers
A-J033-02,High,J033,Walkway 033,"Warwick, RI",Very narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-27,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-07-29,Site constraint,ACCESS_RISK,risk_drivers
A-J012-01,High,J012,Walkway 012,"Quincy, MA",Very narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-28,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-07-30,Site constraint,ACCESS_RISK,risk_drivers
A-J012-02,High,J012,Walkway 012,"Quincy, MA",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-28,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-07-30,Site constraint,DRAINAGE,risk_drivers
A-J030-03,High,J030,Paver Patio 030,"Quincy, MA",High slope requires additional review,Complete site review before approval,Project Manager,Unassigned,2026-07-28,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-07-30,Site constraint,SLOPE,risk_drivers
A-J015-03,High,J015,Paver Patio 015,"Boston, MA",Very narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-31,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-08-02,Site constraint,ACCESS_RISK,risk_drivers
A-J016-03,High,J016,Paver Patio 016,"Quincy, MA",Estimated margin is below target,"Review quote, scope, allowance, and cost assumptions",Estimator / Owner,Unassigned,2026-07-31,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-08-02,Commercial review,MARGIN,estimated_margin_pct
A-J016-05,High,J016,Paver Patio 016,"Quincy, MA",Very long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-07-31,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-08-02,Site constraint,CARRY,risk_drivers
A-J052-02,High,J052,Paver Patio 052,"Quincy, MA",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-31,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-08-02,Site constraint,DRAINAGE,risk_drivers
A-J055-02,High,J055,Paver Patio 055,"Quincy, MA",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-31,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-08-02,Site constraint,DRAINAGE,risk_drivers
A-J057-03,High,J057,Paver Patio 057,"Pawtucket, RI",High slope requires additional review,Complete site review before approval,Project Manager,Unassigned,2026-07-31,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-08-02,Site constraint,SLOPE,risk_drivers
A-J057-04,High,J057,Paver Patio 057,"Pawtucket, RI",Drainage concern is unresolved,Confirm drainage approach before scheduling,Project Manager,Unassigned,2026-07-31,Open,2026-07-15,Later,Yes,No,Preconstruction,2026-08-02,Site constraint,DRAINAGE,risk_drivers
